Name,Fecha,Lote,Formula,FechaNacimiento,GramosAlimentoPruebas,Litros de agua,FechaCambioBebedero,Tazas de alimento,FechaCreacionDeRegistro,Edad,Tazas de hidrogel
GMX00123-01-2023-01-31T17:48:00.000Z,31/1/2023 11:48am,GMX00123-01,,1/1/2023,,3,,,1/2/2023 11:48am,30,
"GMX00123-01, GMX00223-01-2023-01-30T14:20:00.000Z",30/1/2023 8:20am,"GMX00123-01,GMX00223-01",DDG 2,"1/1/2023, 2/1/2023",,,,2,30/1/2023 8:20am,NaN,
"GMX00123-01, GMX00223-01, GMX00323-01, GMX36122-01-02, GMX36422-01, GMX36522-01, GMX36322-01-2023-01-26T14:36:00.000Z",26/1/2023 8:36am,"GMX00123-01,GMX00223-01,GMX00323-01,GMX36122-01-02,GMX36422-01,GMX36522-01,GMX36322-01",DDG 2,"1/1/2023, 2/1/2023, 3/1/2023, 27/12/2022, 30/12/2022, 31/12/2022, 29/12/2022",,,,2,26/1/2023 8:36am,NaN,
"GMX00123-01, GMX00223-01, GMX00323-01, GMX36322-01, GMX36422-01, GMX36522-01-2023-02-10T14:16:00.000Z",10/2/2023 8:16am,"GMX00123-01,GMX00223-01,GMX00323-01,GMX36322-01,GMX36422-01,GMX36522-01",DDG 2,"1/1/2023, 2/1/2023, 3/1/2023, 29/12/2022, 30/12/2022, 31/12/2022",,,,2,10/2/2023 8:16am,NaN,
"GMX00123-01, GMX00223-01, GMX36222-01, GMX35822-01.1, GMX00423-01, GMX35822-01.2, GMX36422-02, GMX00323-02, GMX00223-02, GMX36322-03, GMX36322-04, GMX36322-02-2023-01-24T14:12:00.000Z",24/1/2023 8:12am,"GMX00123-01,GMX00223-01,GMX36222-01,GMX35822-01.1,GMX00423-01,GMX35822-01.2,GMX36422-02,GMX00323-02,GMX00223-02,GMX36322-03,GMX36322-04,GMX36322-02",DDG 2,"1/1/2023, 2/1/2023, 28/12/2022, 24/12/2022, 4/1/2023, 24/12/2022, 30/12/2022, 3/1/2023, 2/1/2023, 29/12/2022, 29/12/2022, 29/12/2022",,,,1,24/1/2023 8:13am,NaN,
"GMX00123-01, PB35622-01, GMX36222-01, GMX36322-04, PB36222-01-2023-01-26T14:57:00.000Z",26/1/2023 8:57am,"GMX00123-01,PB35622-01,GMX36222-01,GMX36322-04,PB36222-01",,"1/1/2023, 22/12/2022, 28/12/2022, 29/12/2022, 28/12/2022",,2,,,26/1/2023 8:58am,NaN,
"GMX00223-01, GMX00123-01-2023-01-17T22:31:00.000Z",17/1/2023 4:31pm,"GMX00223-01,GMX00123-01",DDG 2,"2/1/2023, 1/1/2023",,,,1,17/1/2023 4:31pm,NaN,
"GMX00223-01, GMX00123-01-2023-01-20T14:34:00.000Z",20/1/2023 8:34am,"GMX00223-01,GMX00123-01",DDG 2,"2/1/2023, 1/1/2023",,,,2,20/1/2023 8:34am,NaN,
"GMX00223-01, GMX00123-01-2023-01-23T14:57:00.000Z",23/1/2023 8:57am,"GMX00223-01,GMX00123-01",DDG 2,"2/1/2023, 1/1/2023",,,,2,23/1/2023 8:57am,NaN,
"GMX00223-01, GMX00123-01-2023-01-25T14:17:00.000Z",25/1/2023 8:17am,"GMX00223-01,GMX00123-01",DDG 2,"2/1/2023, 1/1/2023",,,,2,25/1/2023 8:17am,NaN,
"GMX00223-01, GMX00123-01-2023-01-27T14:45:00.000Z",27/1/2023 8:45am,"GMX00223-01,GMX00123-01",DDG 2,"2/1/2023, 1/1/2023",,,,2,27/1/2023 8:45am,NaN,
"GMX00223-01, GMX00123-01-2023-02-09T13:57:00.000Z",9/2/2023 7:57am,"GMX00223-01,GMX00123-01",DDG 2,"2/1/2023, 1/1/2023",,,,1,9/2/2023 7:58am,NaN,
"GMX00223-01, GMX00123-01, GMX00323-01, GMX36422-01, GMX36522-01, GMX36322-01-2023-02-03T14:31:00.000Z",3/2/2023 8:31am,"GMX00223-01,GMX00123-01,GMX00323-01,GMX36422-01,GMX36522-01,GMX36322-01",DDG 2,"2/1/2023, 1/1/2023, 3/1/2023, 30/12/2022, 31/12/2022, 29/12/2022",,,,2,3/2/2023 8:31am,NaN,
"GMX00223-01, GMX00123-01, GMX36322-01, GMX36522-01, GMX36422-01-2023-02-07T14:31:00.000Z",7/2/2023 8:31am,"GMX00223-01,GMX00123-01,GMX36322-01,GMX36522-01,GMX36422-01",DDG 2,"2/1/2023, 1/1/2023, 29/12/2022, 31/12/2022, 30/12/2022",,,,2,7/2/2023 8:31am,NaN,
"GMX00223-01, GMX00123-01, GMX36322-01, GMX36522-01, GMX36422-01, GMX00323-01-2023-02-01T22:19:00.000Z",1/2/2023 4:19pm,"GMX00223-01,GMX00123-01,GMX36322-01,GMX36522-01,GMX36422-01,GMX00323-01",DDG 2,"2/1/2023, 1/1/2023, 29/12/2022, 31/12/2022, 30/12/2022, 3/1/2023",,,,2,1/2/2023 4:19pm,NaN,
